基金代码,基金名称,策略,策略ID,累计收益率(%),年化收益率(%),最大回撤(%),夏普比率,卡玛比率,转换次数,买入次数,止盈次数,胜率(%),超额收益(%),买入持有(%),回测天数,回测区间,综合评分,排名,评级
013711,广发成长新动能混合C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
013711,广发成长新动能混合C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
013711,广发成长新动能混合C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
011062,广发中债7-10年国开债指数E,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
011062,广发中债7-10年国开债指数E,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
011062,广发中债7-10年国开债指数E,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
270002,广发稳健增长A,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
270002,广发稳健增长A,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
270002,广发稳健增长A,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
017963,广发医药创新混合发起式C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
017963,广发医药创新混合发起式C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
017963,广发医药创新混合发起式C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
016278,广发美国房地产指数人民币(QDII)C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
016278,广发美国房地产指数人民币(QDII)C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
016278,广发美国房地产指数人民币(QDII)C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
021277,广发全球精选股票(QDII)人民币C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
021277,广发全球精选股票(QDII)人民币C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
021277,广发全球精选股票(QDII)人民币C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
021778,广发纳指100ETF联接(QDII)人民币F,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
021778,广发纳指100ETF联接(QDII)人民币F,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
021778,广发纳指100ETF联接(QDII)人民币F,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
011061,广发安悦回报混合C,A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
011061,广发安悦回报混合C,B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
011061,广发安悦回报混合C,C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
006479,广发纳指100ETF联接C(人民币)(QDII),A 动态滚动网格,A,12.67,3.52,-3.07,0.208,1.149,27,11,16,100.0,2.69,9.98,868,2023-09-05~2026-12-31,66.5,1,★ 优秀
006479,广发纳指100ETF联接C(人民币)(QDII),B 估值分位网格,B,2.12,0.61,-6.06,-0.63,0.101,33,13,20,52.0,-7.86,9.98,868,2023-09-05~2026-12-31,25.6,33,一般
006479,广发纳指100ETF联接C(人民币)(QDII),C 高点回撤止盈,C,11.27,3.15,-12.82,0.048,0.246,54,23,31,100.0,1.29,9.98,868,2023-09-05~2026-12-31,59.8,17,良好
